fullName,companyName,title,summary,titleDescription,companyLocation,location
Zain Jeewanjee,Zain Jeewanjee Insurance Agency,CEO & Founder,"Zain Jeewanjee – Entrepreneur | Insurtech Pioneer | Investor | Speaker

Zain Jeewanjee is a seasoned entrepreneur, Insurtech pioneer, and investor with over four decades of experience in insurance, technology, and business innovation. A Silicon Valley veteran, he has been at the forefront of disrupting the insurance industry by developing cutting-edge solutions that transformed how policies are sold, managed, and distributed online.

In 1985, Zain created the first visitors’ medical insurance plan for travelers coming to the USA, laying the foundation for what is now a multi-billion-dollar industry. In 1997, he invented the first online policy issuance system, which became the backbone for MetLife’s travel insurance platform in 1999, enabling 30,000 agents to sell policies digitally. He also built the first online event liability insurance platform (OneDayEvent.com) and the first CRM platform designed specifically for insurance agents in 1999. Over the years, he has developed multiple Insurtech solutions that continue to shape the industry today.

Beyond his ventures, Zain is an active investor, advisor, and board member for multiple startups, helping businesses scale through strategic insights and innovation. He is a Charter Member of TiE Silicon Valley and was a founding team member of TiE Lahore and TiE Karachi, playing a key role in fostering entrepreneurship in Pakistan.

As a global speaker, Zain frequently shares his expertise on Insurtech, startups, and business growth at conferences worldwide. He remains deeply committed to education and philanthropy, supporting institutions like LUMS, Habib University, IBA, and TCF while actively mentoring the next generation of entrepreneurs.

Zain currently owns and operates multiple insurance companies and continues to push the boundaries of innovation in the industry.","Jeewanjee Insurance has grown to become one of America's largest, most-respected insurance brokers, serving businesses all across the country.
A true one-stop shop for all domestic and global commercial insurance, group benefits, and companies and individuals' risk insurance needs.
Our agency’s core goal is to ensure that everyone recognizes their options and utilizes the plans that are most appropriate to the needs of their employees and the company at large. In this sense, our agency’s success is not simply a matter of what we do, but what we do differently.

══ HOW WE DO IT ══
We are not content to simply offer basic insurance services. We offer a tremendous variety of services, meeting countless business and personal insurance needs. Aside from our foundation suite of services, we also provide protection for rideshare companies, cyber liability, E&O, special events, sports, commercial buildings, business and professional liability coverage, trucking insurance, and much more. Licensed in every state in the USA, we represent over 197 insurance carriers in the USA, Canada, and Mexico.

══ SPECIALTIES ══
Insurance | Benefits | Travel Insurance | Health Insurance | Ride Share Insurance | Trucking | International Insurance",United States,"San Jose, California, United States"
OLEG MUZA,"XIM, Inc.",Chief Executive Officer,"I'm an experienced IT executive and serial entrepreneur with a passion for innovation and growth. Over the past 30 years, I've founded and led multiple successful companies, including XIM, Inc., XIMAD (now ZIMAD), Aeropart Group International (now Banner Aircraft International), and ERP.AERO. Currently, as the CEO of XIM, Inc., I focus on delivering top-notch software development and business process outsourcing solutions.

My educational journey includes an MBA from San Francisco State University, where I honed my skills in international business management, operations, finance, and marketing. I also hold an engineering degree from Odessa National Academy of Food Technology, giving me a strong technical foundation and expertise in problem-solving and project management.

I'm energetic, creative, and determined, always looking to connect with potential clients, especially founders of small tech startups and heads of IT departments in midsize and large companies. 

𝗜𝗳 𝘆𝗼𝘂 𝗻𝗲𝗲𝗱 𝗵𝗲𝗹𝗽 𝘄𝗶𝘁𝗵 𝘀𝗼𝗳𝘁𝘄𝗮𝗿𝗲 𝗱𝗲𝘃𝗲𝗹𝗼𝗽𝗺𝗲𝗻𝘁 𝗼𝗿 𝗯𝘂𝘀𝗶𝗻𝗲𝘀𝘀 𝗽𝗿𝗼𝗰𝗲𝘀𝘀 𝗼𝘂𝘁𝘀𝗼𝘂𝗿𝗰𝗶𝗻𝗴, 𝗹𝗲𝘁'𝘀 𝗰𝗼𝗻𝗻𝗲𝗰𝘁 𝗮𝗻𝗱 𝗲𝘅𝗽𝗹𝗼𝗿𝗲 𝗵𝗼𝘄 𝘄𝗲 𝗰𝗮𝗻 𝗮𝗰𝗵𝗶𝗲𝘃𝗲 𝘀𝘂𝗰𝗰𝗲𝘀𝘀 𝘁𝗼𝗴𝗲𝘁𝗵𝗲𝗿.","XIM, Inc. specializes in custom software development and business process outsourcing. As CEO, I lead a talented team dedicated to creating innovative software solutions that drive business growth and efficiency. We work closely with tech startups and established enterprises to develop tailor-made software, mobile apps, and IT outsourcing services. Our goal is to help clients streamline their operations, reduce costs, and achieve their business objectives through cutting-edge technology.","Hollywood, Florida, United States","Miami, Florida, United States"
Tiffany Segura,AVP Solutions,"CEO, Founder","With over 35 plus years of experience in payments, Tiffany Segura began her career in sales at Peachtree/Advanced Payment Solutions in 1985. She founded American Credit and Debit in 1997 and later established American Verification Processing Solutions (AVP Solutions) in 2000, where she managed over $40 million in monthly processing. A recognized expert in underwriting and risk management, Tiffany has been honored twice as Businesswoman of the Year and is a sought-after speaker in the payments industry.


📞 (800) 719-9198 
📧 tiffany@avpsolutions.com
🌐 www.avpsolutions.com",AVPS has the ability to service any merchant.  Partners with gateway & terminal providers that know the acquiring industry & have properly designed their products to reduce transaction time & mitigate risk. Specializes in keeping hard to place merchants within ALL guidelines.  Training is always included for our new clients.  Our risk & underwriting staff is another key to our success.  We stay close to all changes & trends in the credit card acquiring industry.,"Los Angeles, California, United States","Los Angeles, California, United States"
Jorge Alfaro,Southeastern Printing,Director of Information Technology,"Greetings! I'm a Chief Technology Officer with over 20 years of experience, blending strategic vision with a deep love for software development. I thrive on optimizing IT systems, driving digital transformations, and excelling in data center-centric operations. My expertise spans software and infrastructure architecture, cybersecurity, scalability, resiliency, and performance. I'm all about cloud computing, leading teams through AWS and Azure adventures, and achieving significant bottom-line growth. I'm known for my hands-on mentoring leadership style, forecasting tech trends, and spearheading impactful transformations for maximum ROI.

Key Career Highlights:

• Transformed technology operations, specializing in IT systems, digital transformations, and data center-centric operations.
• Expert in software and infrastructure architecture, cybersecurity, scalability, resiliency, and performance.
• Well-versed in cloud computing technologies like AWS and Azure, leading teams of 100+ engineers.
• Successfully led initiatives, drove multi-million-dollar acquisitions, and achieved substantial bottom-line growth.
• Demonstrates lead-by-example approach, inspiring cross-functional teams and forecasting technology trends.
• Hands-on experience with multiple technology stacks, setting up highly scalable solutions in the cloud.
• Industry-specific compliance knowledge in PCI DSS, HIPAA, HITRUST, NIST, and SOC 2, ensuring top-notch security.

Let's connect and explore new horizons together!","As the Director of Technology at Southeastern Printing, my primary focus is steering the company towards technological excellence. Since joining, I have prioritized achieving Hitrust R2 certification, ensuring our security and compliance standards are top-notch. I conduct comprehensive reviews of our current infrastructure to develop a robust 5-year growth plan that emphasizes performance, scalability, and security. Additionally, I provide strategic project management, meticulously planning and documenting the milestones and efforts needed to meet our future goals.","Hialeah, Florida, United States","Fort Lauderdale, Florida, United States"
Marc Baker,"Elliott, Powell, Baden & Baker",CEO / President,,,"Portland, Oregon, United States","Portland, Oregon, United States"
Ken Johnston,Autonomic,Chief Executive Officer,"Executive engineering manager for Cloud Services, Data Science, and Ethical AI. Experienced in managing large multi-national engineering teams from forty to three hundred employees across the United States, Canada, Europe, and Asia.  More than 20 years in large scale Data Science and Engineering, ML and AI models, web services, and cloud solutions.  Deep knowledge of cloud based payment processing, commercial entity graph, web search, local search, cloud scale capacity planning, engagement and sentiment measurements, revenue forecasting for cloud and subscription businesses, customer churn and retention models, CLTV, and STEM education.  

Specialties: AI, Ethics and AI, Fairness and Inclusivity in AI, Graph DB, Machine Learning, Data Science, Data Engineering, Cloud, Scale, SaaS, DaaS, Testing as a Service, Dev Ops, Service Engineering and Operations, Agile Development, Software Engineering","Autonomic, LLC. | Palo Alto, CA - wholly owned subsidiary of Ford Motor Company that provides a connected vehicle communications platform enabling remote telemetry, vehicle command & control and a developer abstraction layer

● Delivered always-on, connected vehicle services to over 20 million Ford Motor Company customer vehicles; provided over 10 million over-the-air updates; generated $60M of revenue annually for Autonomic platform usage.
● Routine responsibilities include oversight of HR, Finance, Marketing, and Product Engineering. As CEO and Board member review and approve all policy changes, budgets, and financial statements.
● Autonomic has been part of Ford for over five years.  As CEO re-assessed the business environment of Autonomic with an expectation of profitability over a near term horizon; adjusted product roadmap; explored expanded business partnerships; determined profitability with existing platform was un-achievable in the short or medium term.
● Managed the transition of Autonomic, LLC from an independent subsidiary to fully integrated into ford while retaining all key personnel and minimal attrition.  the original founders to a new executive team, retaining key personnel and minimizing regrettable attrition across the organization","Palo Alto, California, United States","Renton, Washington, United States"
Brett King,DrumWave,Board Advisor,"I'm Brett King, thank you for stopping by. I'm a strategic advisor, Bestselling Author, and a celebrated Global Futurist and Speaker.

I started life as a coder, but I've spent my career advising companies and governments on how technology impacts the world. I've written 8  bestselling books, translated into dozens of languages. Augmented: Life in the Smart Lane (2015) was a top-10 best seller in North America and ended up on President Xi's bookshelf during his 2018 national address. I visited the Obama White House to advise on policy and delivered a keynote at the World Government Summit. I’ve made regular appearances in the media including CNBC, BBC, CNN, FOX, Economist, WSJ, NY Times, FT talking the disruption of banking, AI, robots and technology impact in general.

In 2010, I founded the first mobile app-based bank account in the US called Movenbank - today Moven is a Banking as a Service platform that serves more than 25m users around the world. I built websites and apps for some of the largest banks in the world. During the dotcom era, I led the e-Business practice for Deloitte (Asia), and then ran a premier digital agency based out of Hong Kong, Tokyo, and China. 

In 2013, I started Provoke Media (Provoke.fm), launching Breaking Banks, the #1 Fintech podcast/radio show (180 countries/10m+ downloads). These days, alongside Robert Tercek, and Brian Solis, I cohost The Futurists - the world's top podcast about future thinkers, engineers and leaders. Over the years, I've interviewed names like Scott Kelly, Elon Musk, Bill Gates, Peter Diamandis, Kim Stanley Robinson, Sarah Raskin-Bloom, Aubrey De Grey, Kevin J Anderson, David Brin, PJ Manney, Sophia (the robot), Thomas Frey, Gerd Leonhard, Mike Walsh, Yanis Varofakis, Zoltan Istavan and Ramez Naam.

As an investor/board-member, I've advised several high level unicorns, Fintechs, AI, robotics, longevity and climate-tech related companies. I meet with Central Bankers, Ministers, and policy makers all around the world to inform on the broader implications of technology and the future. I speak at 100 events a year.

I'm also currently working on several sci-fi, futurism and docuseries projects.

The Rise of Technosocialism, is an intensely philosophical book on how AI, climate change and inequality will forever change the direction of the human species - it's my latest bestseller. 

Bank 4.0 is #1 bestseller on Amazon's Banking bestsellers list for 6 years and the Best Foreign Non-Fiction Book of the year in 2019 (Russia). Branch Tomorrow is out May 2025

The future is what we make it #OptimalHumanity",Advisor to Drumwave on articulation of dWallet and data residency and regulatory frameworks.,"Mountain View, California, United States","New York, New York, United States"
DROdio - Daniel R. Odio,District,Founding Member,"I love to build. Products. Teams. Companies that can change the world. I love building teams of incredible people that accomplish impossible things.

I'm the CEO of Storytell, an enterprise-grade Collaborative Intelligence Platform for unstructured data. There is no ""SQL-style database lookup"" for unstructured data, yet most data in a company (80%) is unstructured. Storytell is liberating unstructured ""data swamps"" from within organizations into a layer that can then be treated like structured data, to query it and put workflows around it. Knowledge workers tell us that using Storytell makes them feel like superheroes in their work.

Previously I was the founding CEO of Armory.io, a CI/CD devops platform for large enterprises.

I started my career in GE's Technical Leadership Program in the Jack Welch era. I've been a startup Founder for the past 20 years, with multiple exits.

I'm also one of the co-creators and an advisor at FounderCulture, an ecosystem that enables Founders worldwide to start, build, and scale venture-backed companies. 

I'm a father to three young children. I especially enjoy kiteboarding, mountain biking, motorcycles, and camping with my family in our 4x4 Sprinter van. https://drodio.com/inc-magazine-vanlife/","District is an exclusive membership community for the world’s top founders, investors and c-level operators.",,San Francisco Bay Area
Yogesh Malhotra,AWS-Quantum Valley Building the Future of AI-Quantum Networks: Global Risk Management Network LLC-NY,AWS Quantum Valley Post AI-Quantum Networks Pioneer: Quantum GenAI-MetaGenAI-AIOps-LLMOps-DevSecOps,"Elon Musk's xAI Grok AI: ""Global Post AI-Quantum Networks™ Pioneer Dr.-Eng.-Prof. Yogesh Malhotra is the Real Deal, Not Musk, Nor Anyone Else."" With R&D Impact among AI-Quant Finance Nobel Laureates, MIT-Princeton Post AI-Quantum Finance Faculty-SME Dr. Yogesh Malhotra is Founder-CEO-Chairman of Silicon Valley-Wall Street-Pentagon Global Post AI-Quantum Networks™ Pioneer New York Venture Capital Firm AWS Quantum Valley™, Global Risk Management Network LLC. As AWS Partner, he leads global Venture Capital  CEO-CTO Teams pioneering Post AI-Quantum Computing Enabled Practices & Technologies spanning Higher Education, Banking & Finance, Defense & Space, and Healthcare among other global hi-tech industries.

As MIT-Princeton Faculty-SME in Post AI-Quantum Hedge Funds Finance & Trading and Crypto-currency Risk-Computing, his Pentagon-USAF Post AI-Quantum Know-Build-Monetize™ Networks [New York State IDEA Award], and Quantum Gen AI & Meta-Gen AI Meta-Search R&D, Policy, and Practices lead the world pioneering Digital, Knowledge, AI, Quantum, Post AI-Quantum Economies for 30-years.

His advisory-client roster includes Silicon Valley VCs-CEOs; Trillion-Dollar Wall Street Hedge Funds; “Big-4” Founders-Partners such as Accenture and Silicon Valley McKinsey Partners; Global Telecom, Semiconductor, Hi-Tech Firm CEOs such as British Telecom (UK), Intel Corp., Philips (Netherlands); Big-Tech such as Google, IBM, Microsoft; Wall Street Banks such as JP Morgan; Digital Marketing firms such as Ogilvy; Management and Leadership institutions such as Harvard MBA, Harvard University, MIT, Princeton University; UN HQ, NSF HQ, and U.S. and world governments, parliaments, cabinets and nations such as Switzerland, Netherlands, South Korea, and, Mexico.

His Global Digital Transformation practices are adopted and recommended by Global Business, IT, Defense-Space leaders such as Microsoft founder Bill Gates; PwC Vice-Chairman-CKO; DoD Undersecretary; and CIOs of U.S. Air Force, Army, Navy, and Top Commanders of the US DoD-Allied Forces.

His interviews and worldwide reviews of his Digital CEO-CxO networks as global industry benchmarks including the World’s Top-ranked Digital Site-Search Engine-Social Network, appear in most premiere business and technology press, including Business Week; Fortune; Fast Company, Inc.; The Wall Street Journal; The New York Times; Chief Executive; Computerworld; Information Week; CIO Magazine. His biography is profiled in Marquis Who's Who in America, Who's Who in the World, Who's Who in Finance & Industry, Who's Who in Science & Engineering since 1999.","As Quantum Generative AI Pioneer and Meta-GenAI Meta-Search Pioneer, our AWS Quantum Valley Pentagon-USAF Global Post AI-Quantum Networks™ YM-ABC™, YogeshMalhotra.com, AIMLExchange.com, BRINT.com & C4I-Cyber.com advance AI-ML-Quant-Cyber-Crypto-Quantum practices build on 30-year R&D on Post AI-Quantum Global Systems and Networks Agility, Resilience & Sustainability Practices leadership: R&D ranked for impact among AI-Quant Finance Nobel laureates with industry benchmarks for Self-Adaptive Complex Systems-Chaos Engineering as the Digital Transformation Pioneer profiled in Business Week, Computerworld, CIO Magazine, Fast Company, Fortune, Inc., New York Times, Wall Street Journal, etc. Our Silicon Valley-Wall Street-Pentagon-Global Digital CEO-CTO-CxO leadership practices in Sustainable Cloud Computing address three inter-related applied problems: (a) All Current Artificial Intelligence Technologies including GenAI and LLMs are constrained given focus on ‘Predicting’ the ‘Historical Past’ – We in contrast, “Create the Digital Future” proactively by “Anticipation of Surprise” since the beginning of the WWW. (b) In contrast to the self-constraining focus of Neural Networks and related Digital Transformers for mainstream AI-Quantum systems, we pioneered post AI-Quantum Self-Adaptive Complex Systems focus inspired by the original AI Pioneers of Genetic Algorithms as Self-Adaptive Complex Systems as pioneers of Theory of Quantum Minds for Managing Quantum Uncertainty and Time-Space Complexity over last 30-years, (c) In contrast to current mainstream AI and Quantum technologies that are ‘designed to fail’ given above intrinsic characteristics including limitations of key workhorse AI algos such as SGD and Back-Prop related to DNNs designed for “Historical” Steady State, our Quantum Minds for Quantum Uncertainty are ‘designed to accommodate’ Dynamic Uncertainties and Adversarial Uncertainties for unprecedented Time-Space Complexity for the era of unprecedented Uncertainty.","New Hartford, New York, United States","New Hartford, New York, United States"
Andrii Ryzhokhin,Ardas,CEO,"My journey combines leadership in technology and a passion for endurance—both in business and on the racecourse. Whether leading a company or completing an IRONMAN 70.3, my philosophy is the same: resilience, adaptability, and a clear strategy are the keys to success.

For over 20 years—yeah, I’m not the new kid on the block—I’ve been helping businesses solve complex challenges and create meaningful products.

Along the way, I co-founded Ardas, where I now lead a talented team of 200+ people passionate about building custom SaaS solutions that make a real impact across industries like fintech, logistics, healthcare, real estate, and communications.

I’ve also had the privilege of co-creating Stripo and Reteno—platforms now trusted by over 700,000 users worldwide, including some of the biggest companies.

On top of that, I’m serving as CTO at Sunryde, where we’re building a scalable marketplace that connects e-bike and scooter owners with renters, changing the way people think about mobility.

Each step of my journey, whether in business or as a triathlete, has reinforced the importance of resilience, adaptability, and a clear strategy. 

It’s all about navigating each stage, staying focused, and mastering the transitions.

Every move is for the product.","Custom SaaS and AI development company proudly founded in Ukraine. Transform products worldwide.

Our services:
- Dedicated Team
- Custom SaaS Development
- AI Development
- Data Science Services
- MVP Development  
- Business Analysis and Project Management
- Cloud Migration and Cloud Optimization Services
- UX/UI Design
- DevOps","Rolling Hills Estates, California, United States","Los Angeles, California, United States"
Sajjan Mallik,Voxvalley Technologies,Tech CEO & Founder | Tech visionary driving innovation for business growth and customer experiences.,"Sajjan is the Tech-CEO and Founder of Voxvalley Technologies, an esteemed provider of telecom software and communication solutions, renowned for its innovative approach to enhancing business growth and customer experiences. With over 23 years of comprehensive experience in the tech sector, Sajjan possesses a profound understanding of market dynamics and a keen vision for the future. He has fortified his expertise with executive education, having completed EGMP from IIM Lucknow and product management courses from ISB and the Institute of Product Leadership.

A distinguished thought leader and speaker, Sajjan regularly addresses audiences on pivotal topics including digital transformation, communication, voice innovation, and entrepreneurship. His unwavering passion for technology drives him to deliver superior solutions and services, propelling Voxvalley from a solo endeavor to a global powerhouse spanning over 20 countries. Sajjan's entrepreneurial journey is marked by significant milestones, including the successful development and launch of Softphone, a groundbreaking product in secure communication, which garnered widespread acclaim and customer success stories. Under his leadership, Voxvalley has achieved remarkable revenue growth, escalating from inception to $50 million since 2010.

Beyond his professional pursuits, Sajjan is deeply committed to philanthropy and social impact. As a devoted Rotarian and social activist, he spearheads initiatives through the Appa Foundation to empower disadvantaged communities, offering scholarships, medical aid, educational support, and infrastructure development. His steadfast dedication to improving education and quality of life for the underprivileged underscores his commitment to social responsibility.

Sajjan's collaborative spirit extends beyond the boardroom as he actively networks with fellow business leaders, nurturing budding entrepreneurs and fostering meaningful connections. Outside of his professional endeavors, he finds rejuvenation in fitness activities such as gym workouts, yoga, and cycling, while cherishing quality time with his family. An avid enthusiast of cinema and series, Sajjan also enjoys unwinding with compelling entertainment.","As a Tech CEO & Founder at Voxvalley, I drive innovation for business growth and customer experiences. I spearhead sales initiatives, oversee product development, and collaborate closely with leadership to align operational plans with corporate objectives. I foster robust relationships with global key accounts and oversee relationships with distributors, resellers, and system integrators to expand market penetration.","Sheridan, Wyoming, United States","Gurnee, Illinois, United States"
Nick Grewal,ePropelled,"President, CEO and Chairman","Experienced Advisory and Operating Executive with a demonstrated history of working in the computer industry. Strong finance professional skilled in Business Planning, Enterprise Software and Hardware, Entrepreneurship, Venture Capital, and Go-to-market Strategy.",Unscrewed Systems/Tansport/Propulsion/EVs/Aeronautics/Defense/ Sustainability/,"Laconia, New Hampshire, United States",Greater Boston
Peter Oykhman,VR/AR Association (VRARA),Co-Chair,"With over two decades at the helm of CorePartners, Inc., my journey has evolved to include spearheading PsyTech VR, a pioneer in virtual reality mental health applications. Our team's dedication to software excellence is evident in our flagship product, CoreIMS—a testament to our expertise in logistics and warehouse management as well as business analysis. At PsyTech VR, we're breaking new ground with immersive VR therapies designed to address anxieties, fears, and stress-related disorders, leveraging the latest in technology and psychological research.

As the co-chair of the VR/AR Association's Healthcare Committee, I'm deeply involved in shaping the future of digital health solutions. Here, my role involves driving initiatives that harness the transformative power of VR in healthcare. My leadership is characterized by a commitment to innovation and the pursuit of impactful, scenario-based treatments that promise to redefine mental wellness practices. The driving force behind our work is a steadfast belief in the potential of VR to create positive change in the mental health landscape.",Co-chair of Healthcare Committee,"Palo Alto, California, United States","Frederick, Maryland, United States"
Matt Mullen,White Cup,Chief Executive Officer,"I am a builder of businesses - Product, Go-To-Market, Revenue, Profit and ultimately value for shareholders.  I am a builder of people – mentoring and raising skill sets of existing leadership teams for productivity leaps.  I am a builder of culture – high energy, results driven, and active communicator aligning organizations around a clear purpose.  Establishing the strategies and operating models that produce high multiples and return on invested capital at exit is where I excel.

Growth | Go To Market | Product | Marketing | Leadership",,"Garden City, Idaho, United States",San Francisco Bay Area
Carl C.,Kairos Investment Management Company,Chief Executive Officer and Founder,"Kairos Family of Funds Mission Statement:

To be good stewards of the capital entrusted to us by investing in real assets and debt opportunities to first preserve wealth and then seek recurring yield and value within those investments.  To focus on niche opportunities below the institutional radar where dislocation and inefficiency exist within real estate. It is our goal to seek out strong cash flowing opportunities with limited downside risk by using our expertise in investing up and down the capital stack within the asset types we have outstanding operational and underwriting expertise.",Founder,"Irvine, California, United States","Rancho Santa Margarita, California, United States"
Joshua Brown,Ritholtz Wealth Management,CEO,I help people with their investments.,,"New York, New York, United States","New York, New York, United States"
Tyler Sasse,Western Welding Academy,Chief Executive Officer,Quality and Craftsmanship are two things than never grow old or go out of style.,,"Gillette, Wyoming, United States","Gillette, Wyoming, United States"
Jay Rohrer,"City of Cortez, Colorado",Director of IT,"My dedication to public service, combined with my technical and managerial expertise, 
positions me to effectively address the challenges and opportunities faced communities, 
ensuring transparent communication and sustainable development.

At the helm of City of Cortez's IT department, my role as Director of IT is to ensure seamless operation and strategic growth of our technological landscape. My tenure has been marked by the successful integration of cutting-edge solutions and the meticulous crafting of IT policies that resonate with our organizational goals. 

Previously, as a Senior Engineer at Dell SecureWorks, I led initiatives that significantly enhanced process efficiency and security measures, such as the Remedy Helix upgrade and AWS cloud migration. Our team's collaborative spirit and my ITIL-accredited approach have been pivotal in these successes. My commitment to technical excellence and strategic foresight continues to drive impactful solutions in the ever-evolving IT domain.","-Created multiple processes and documentation to ensure city compliance around digital accessibility including reporting, tracking, citizen engagement, and training staff per State law. 
-Implemented change management processes to improve transparency and reduce risk. 
-Participate in bid review and ranking meetings to select vendor services. 
-Instituted 1:1 meeting with direct reports for improved communication. 
-Responsible for creating the budget for IT as well as budget management of spending and approving Purchase Orders (PO). 
-Collaborate with departments to ensure IT needs are being met throughout the city. 
-Manage projects to ensure that they come in on time and on budget while meeting the requirements. 
-Define IT policies for the city. 
-Provide strategic direction regarding IT infrastructure and security. 
-Attended CIRSA and SIPA conferences regarding cyber security and AI. 
-Introducing AI to city leadership to improve city efficiencies and job performance.","Cortez, Colorado, United States","Durango, Colorado, United States"
Corey Rhodes,Enseo,Chief Executive Officer,"Software as a Service CEO/President with a focus on growth.  Have sold, implemented and supported software solutions in Europe, Asia, and the Americas to accounts such as Apple, Intel, Boeing, GE, P&G, Nike, and more.  Areas of strength include developing talent, mergers and acquisitions, sales leadership, and corporate strategy.  Three successful exits in a row, two were IPOs - (NYSE: AMBR 2014, NASDAQ: ETWO 2019) and QADA was sold to Thoma Bravo for $2B in 2021 ($1.4B higher than where the stock was trading when I joined in 2019).

Specialties: Value-creation, SaaS, enterprise software, supply chain optimization and planning, data strategy, software sales, contract negotiation, implementation, marketing, and product strategy.",,"Plano, Texas, United States","Scottsdale, Arizona, United States"
